Segment,VADER_Positive,VADER_Neutral,VADER_Negative
2024-12-12 11:40:00,0.199,0.773,0.028
2024-12-12 11:45:00,0.21350000000000002,0.7555000000000001,0.0315
2024-12-12 11:50:00,0.0,0.0,0.0
2024-12-12 11:55:00,0.015,0.872,0.114
2024-12-12 12:00:00,0.0,0.713,0.287
2024-12-12 12:05:00,0.124,0.7969999999999999,0.079
2024-12-12 12:10:00,0.0,0.0,0.0
2024-12-12 12:15:00,0.0,0.0,0.0
2024-12-12 12:20:00,0.034,0.81,0.156
2024-12-12 12:25:00,0.0,0.0,0.0
2024-12-12 12:30:00,0.0,0.0,0.0
2024-12-12 12:35:00,0.139,0.7709999999999999,0.09
2024-12-12 12:40:00,0.0,0.0,0.0
2024-12-12 12:45:00,0.0,0.0,0.0
2024-12-12 12:50:00,0.0,0.0,0.0
2024-12-12 12:55:00,0.192,0.767,0.041
2024-12-12 13:00:00,0.0,0.681,0.319
2024-12-12 13:05:00,0.19,0.692,0.118
2024-12-12 13:10:00,0.0,0.0,0.0
2024-12-12 13:15:00,0.0,0.0,0.0
2024-12-12 13:20:00,0.0,0.0,0.0
2024-12-12 13:25:00,0.238,0.717,0.045
2024-12-12 13:30:00,0.0,0.0,0.0
2024-12-12 13:35:00,0.182,0.75,0.068
2024-12-12 13:40:00,0.153,0.818,0.029
2024-12-12 13:45:00,0.0,0.0,0.0
2024-12-12 13:50:00,0.0,0.0,0.0
2024-12-12 13:55:00,0.0,0.0,0.0
2024-12-12 14:00:00,0.0,0.0,0.0
2024-12-12 14:05:00,0.0,0.0,0.0
2024-12-12 14:10:00,0.181,0.811,0.008
2024-12-12 14:15:00,0.0,0.0,0.0
2024-12-12 14:20:00,0.0,0.0,0.0
2024-12-12 14:25:00,0.1345,0.81,0.055499999999999994
2024-12-12 14:30:00,0.0,0.0,0.0
2024-12-12 14:35:00,0.0,0.0,0.0
2024-12-12 14:40:00,0.0,0.0,0.0
2024-12-12 14:45:00,0.0,0.0,0.0
2024-12-12 14:50:00,0.0,0.0,0.0
2024-12-12 14:55:00,0.0,0.0,0.0
2024-12-12 15:00:00,0.0,0.0,0.0
2024-12-12 15:05:00,0.0,0.925,0.075
2024-12-12 15:10:00,0.08633333333333333,0.823,0.09066666666666666
2024-12-12 15:15:00,0.18,0.772,0.048
2024-12-12 15:20:00,0.0,0.0,0.0
2024-12-12 15:25:00,0.0,0.0,0.0
2024-12-12 15:30:00,0.0,0.0,0.0
2024-12-12 15:35:00,0.162,0.821,0.017
2024-12-12 15:40:00,0.0,0.0,0.0
2024-12-12 15:45:00,0.1045,0.7665,0.1285
2024-12-12 15:50:00,0.0,0.0,0.0
2024-12-12 15:55:00,0.0,0.0,0.0
2024-12-13 09:30:00,0.14863492063492065,0.7973492063492063,0.054047619047619046
2024-12-13 09:35:00,0.0,0.0,0.0
2024-12-13 09:40:00,0.0,0.0,0.0
2024-12-13 09:45:00,0.0,0.0,0.0
2024-12-13 09:50:00,0.0,0.0,0.0
2024-12-13 09:55:00,0.0,0.0,0.0
2024-12-13 10:00:00,0.0,0.0,0.0
2024-12-13 10:05:00,0.21,0.774,0.015
2024-12-13 10:10:00,0.112,0.788,0.1
2024-12-13 10:15:00,0.03,0.823,0.147
