timestamp_shifted,Positive_Prob,Neutral_Prob,Negative_Prob
2024-12-05 11:50:00,0.0,0.0,0.0
2024-12-05 11:55:00,0.0,0.0,0.0
2024-12-05 12:00:00,0.0,0.0,0.0
2024-12-05 12:05:00,0.0,0.0,0.0
2024-12-05 12:10:00,0.0,0.0,0.0
2024-12-05 12:15:00,0.0,0.0,0.0
2024-12-05 12:20:00,0.0,0.0,0.0
2024-12-05 12:25:00,0.0,0.0,0.0
2024-12-05 12:30:00,0.92182577,0.03010746,0.048066758
2024-12-05 12:35:00,0.92122716,0.048430867,0.030342003
2024-12-05 12:40:00,0.6342197,0.30498365,0.060796633
2024-12-05 12:45:00,0.0,0.0,0.0
2024-12-05 12:50:00,0.0,0.0,0.0
2024-12-05 12:55:00,0.0,0.0,0.0
2024-12-05 13:00:00,0.0,0.0,0.0
2024-12-05 13:05:00,0.0,0.0,0.0
2024-12-05 13:10:00,0.0,0.0,0.0
2024-12-05 13:15:00,0.0,0.0,0.0
2024-12-05 13:20:00,0.80026454,0.12559044,0.074145064
2024-12-05 13:25:00,0.0,0.0,0.0
2024-12-05 13:30:00,0.8261199,0.01890248,0.1549776
2024-12-05 13:35:00,0.90758866,0.031846736,0.06056459
2024-12-05 13:40:00,0.0,0.0,0.0
2024-12-05 13:45:00,0.0,0.0,0.0
2024-12-05 13:50:00,0.0,0.0,0.0
2024-12-05 13:55:00,0.0,0.0,0.0
2024-12-05 14:00:00,0.0,0.0,0.0
2024-12-05 14:05:00,0.7737328,0.08387759,0.14238961
2024-12-05 14:10:00,0.8920916,0.016729182,0.091179274
2024-12-05 14:15:00,0.0,0.0,0.0
2024-12-05 14:20:00,0.0,0.0,0.0
2024-12-05 14:25:00,0.8908602,0.017259954,0.09187982
2024-12-05 14:30:00,0.0,0.0,0.0
2024-12-05 14:35:00,0.8865118,0.07586268,0.03762551
2024-12-05 14:40:00,0.0,0.0,0.0
2024-12-05 14:45:00,0.90169928,0.0344716225,0.063829105
2024-12-05 14:50:00,0.0,0.0,0.0
2024-12-05 14:55:00,0.0,0.0,0.0
2024-12-05 15:00:00,0.0,0.0,0.0
2024-12-05 15:05:00,0.8637468,0.01651521,0.119738005
2024-12-05 15:10:00,0.0,0.0,0.0
2024-12-05 15:15:00,0.0,0.0,0.0
2024-12-05 15:20:00,0.9235826300000001,0.029052529,0.0473647985
2024-12-05 15:25:00,0.0,0.0,0.0
2024-12-05 15:30:00,0.0,0.0,0.0
2024-12-05 15:35:00,0.0,0.0,0.0
2024-12-05 15:40:00,0.0,0.0,0.0
2024-12-05 15:45:00,0.0,0.0,0.0
2024-12-05 15:50:00,0.0,0.0,0.0
2024-12-06 09:25:00,0.6948864256410257,0.13557760451282053,0.16953596651282052
2024-12-06 09:30:00,0.89061886,0.021903945,0.087477185
2024-12-06 09:35:00,0.0,0.0,0.0
2024-12-06 09:40:00,0.0,0.0,0.0
2024-12-06 09:45:00,0.83757997,0.023489513,0.13893047
2024-12-06 09:50:00,0.0,0.0,0.0
2024-12-06 09:55:00,0.0,0.0,0.0
2024-12-06 10:00:00,0.8766279,0.021199258,0.1021728
2024-12-06 10:05:00,0.0,0.0,0.0
2024-12-06 10:10:00,0.0,0.0,0.0
2024-12-06 10:15:00,0.0,0.0,0.0
2024-12-06 10:20:00,0.0,0.0,0.0
2024-12-06 10:25:00,0.0,0.0,0.0
2024-12-06 10:30:00,0.0,0.0,0.0
2024-12-06 10:35:00,0.0,0.0,0.0
2024-12-06 10:40:00,0.5260159,0.44833335,0.025650706
2024-12-06 10:45:00,0.0,0.0,0.0
2024-12-06 10:50:00,0.0,0.0,0.0
2024-12-06 10:55:00,0.0,0.0,0.0
2024-12-06 11:00:00,0.48133266,0.011124459,0.5075429
2024-12-06 11:05:00,0.89931905,0.02373728,0.07694371
2024-12-06 11:10:00,0.0,0.0,0.0
2024-12-06 11:15:00,0.9245168,0.0267537485,0.0487295065
2024-12-06 11:20:00,0.0,0.0,0.0
2024-12-06 11:25:00,0.0,0.0,0.0
2024-12-06 11:30:00,0.719357,0.24211016,0.038532812
2024-12-06 11:35:00,0.85365003,0.055046998,0.09130295
2024-12-06 11:40:00,0.0,0.0,0.0
2024-12-06 11:45:00,0.0,0.0,0.0
2024-12-06 11:50:00,0.76304716,0.03768033,0.1992725
2024-12-06 11:55:00,0.0,0.0,0.0
2024-12-06 12:00:00,0.7942923728571428,0.015022054000000002,0.1906855982857143
2024-12-06 12:05:00,0.0,0.0,0.0
2024-12-06 12:10:00,0.0,0.0,0.0
2024-12-06 12:15:00,0.8470329,0.024151235,0.128815875
2024-12-06 12:20:00,0.0,0.0,0.0
2024-12-06 12:25:00,0.40986767,0.5532437,0.03688869
2024-12-06 12:30:00,0.0,0.0,0.0
2024-12-06 12:35:00,0.0,0.0,0.0
2024-12-06 12:40:00,0.0,0.0,0.0
2024-12-06 12:45:00,0.0,0.0,0.0
2024-12-06 12:50:00,0.0,0.0,0.0
2024-12-06 12:55:00,0.0,0.0,0.0
2024-12-06 13:00:00,0.91644573,0.025384013,0.0581703
2024-12-06 13:05:00,0.0,0.0,0.0
2024-12-06 13:10:00,0.0,0.0,0.0
2024-12-06 13:15:00,0.0,0.0,0.0
2024-12-06 13:20:00,0.0,0.0,0.0
2024-12-06 13:25:00,0.0,0.0,0.0
2024-12-06 13:30:00,0.9051026,0.027020212,0.06787717
2024-12-06 13:35:00,0.0,0.0,0.0
2024-12-06 13:40:00,0.0,0.0,0.0
2024-12-06 13:45:00,0.0,0.0,0.0
2024-12-06 13:50:00,0.0,0.0,0.0
2024-12-06 13:55:00,0.0,0.0,0.0
2024-12-06 14:00:00,0.87127966,0.018228907,0.11049151
2024-12-06 14:05:00,0.0,0.0,0.0
2024-12-06 14:10:00,0.0,0.0,0.0
2024-12-06 14:15:00,0.0,0.0,0.0
2024-12-06 14:20:00,0.01608406,0.95786566,0.026050253
2024-12-06 14:25:00,0.0,0.0,0.0
2024-12-06 14:30:00,0.0,0.0,0.0
2024-12-06 14:35:00,0.0,0.0,0.0
2024-12-06 14:40:00,0.0,0.0,0.0
2024-12-06 14:45:00,0.0,0.0,0.0
2024-12-06 14:50:00,0.7388593,0.015770225,0.24537052
2024-12-06 14:55:00,0.0,0.0,0.0
2024-12-06 15:00:00,0.0,0.0,0.0
2024-12-06 15:05:00,0.0,0.0,0.0
2024-12-06 15:10:00,0.0,0.0,0.0
2024-12-06 15:15:00,0.0,0.0,0.0
2024-12-06 15:20:00,0.0,0.0,0.0
2024-12-06 15:25:00,0.0,0.0,0.0
2024-12-06 15:30:00,0.0,0.0,0.0
2024-12-06 15:35:00,0.0,0.0,0.0
2024-12-06 15:40:00,0.0,0.0,0.0
2024-12-06 15:45:00,0.0,0.0,0.0
2024-12-06 15:50:00,0.0,0.0,0.0
2024-12-09 09:25:00,0.7168989507851852,0.07733620491851853,0.20576484277777776
2024-12-09 09:30:00,0.0,0.0,0.0
2024-12-09 09:35:00,0.0,0.0,0.0
2024-12-09 09:40:00,0.73871875,0.020615637,0.24066558
2024-12-09 09:45:00,0.0,0.0,0.0
2024-12-09 09:50:00,0.0,0.0,0.0
2024-12-09 09:55:00,0.0,0.0,0.0
2024-12-09 10:00:00,0.0,0.0,0.0
2024-12-09 10:05:00,0.8953556,0.046671566,0.057972882
2024-12-09 10:10:00,0.0,0.0,0.0
2024-12-09 10:15:00,0.0,0.0,0.0
2024-12-09 10:20:00,0.0,0.0,0.0
2024-12-09 10:25:00,0.0,0.0,0.0
2024-12-09 10:30:00,0.577414,0.012648283,0.40993768
2024-12-09 10:35:00,0.59000295,0.010503615,0.39949343
2024-12-09 10:40:00,0.0,0.0,0.0
2024-12-09 10:45:00,0.0,0.0,0.0
2024-12-09 10:50:00,0.53910514,0.42272437999999996,0.0381704925
2024-12-09 10:55:00,0.0,0.0,0.0
2024-12-09 11:00:00,0.0,0.0,0.0
2024-12-09 11:05:00,0.0,0.0,0.0
2024-12-09 11:10:00,0.9301138,0.028674258,0.04121195
2024-12-09 11:15:00,0.0,0.0,0.0
2024-12-09 11:20:00,0.0,0.0,0.0
2024-12-09 11:25:00,0.0,0.0,0.0
2024-12-09 11:30:00,0.8156324,0.057964098,0.12640345
2024-12-09 11:35:00,0.0,0.0,0.0
2024-12-09 11:40:00,0.0,0.0,0.0
2024-12-09 11:45:00,0.0,0.0,0.0
2024-12-09 11:50:00,0.0,0.0,0.0
2024-12-09 11:55:00,0.0,0.0,0.0
2024-12-09 12:00:00,0.0,0.0,0.0
