,Title,Text,Publisher,URL,Date
14,"Resident Evil 2 Remake erscheint am 10. Dezember für iPhone, iPad und Mac","Nach der Ankündigung auf der Worldwide Developers Conference (WWDC) steht nun der Release-Termin für das Resident Evil 2 Remake fest. Apple-Nutzer können den Survival-Horror-Klassiker ab dem 10. Dezember 2024 auf ihren Macs, iPhones und iPads erleben. Die Por…",Caschys Blog,https://stadt-bremerhaven.de/resident-evil-2-remake-erscheint-am-10-dezember-fuer-iphone-ipad-und-mac-2/,2024-12-09 19:37:20
15,Apples OLED-Roadmap: Erstes MacBook Pro ohne Notch ab 2026,"Der sogenannte “Notch”, der rechteckige Schönheitsfleck oben mittig in den Displays der aktuellen MacBook-Pro-Modelle, könnte bereits in wenigen Jahren der Vergangenheit angehören. Laut einer Roadmap der Marktforschungsfirma Omdia sollen schon 2026 neue MacBo…",ifun.de › Apple-News seit 2001,https://www.ifun.de/apples-oled-roadmap-erstes-macbook-pro-ohne-notch-ab-2026-244987/,2024-12-09 19:44:45
16,"Dienstag: Altersgrenze für soziale Medien, Beweis für anthropisches Prinzip",Bandenkriminalität in Schweden + Entwicklung des Universums + Umsetzung der NIS2-Richtlinie + Roboterratte täuscht echte Ratten + Mobiles Bezahlen auf iPhones,heise online,https://www.heise.de/news/Dienstag-Altersgrenze-fuer-soziale-Medien-Beweis-fuer-anthropisches-Prinzip-10193309.html,2024-12-10 06:15:00
17,Apple knickt ein: MacBook Pro verliert endlich Schönheitsmakel,"Das aktuelle MacBook Pro besitzt einen sichtbaren Schönheitsfehler, der wie bereits zuvor beim iPhone für Diskussionen sorgt. Am oberen Rand findet sich nämlich eine Aussparung im Bildschirm – allgemein als „Notch“ bekannt. Die soll das MacBook Pro nun endlic…",Giga,https://www.giga.de/tech/apple-knickt-ein-macbook-pro-verliert-endlich-schoenheitsmakel--01JEQT227EGT6EZSBGKJS0NEGW,2024-12-10 09:13:06
18,RCS: Warum sich der neue Messaging-Standard dank Apple durchsetzen könnte,"Apple lässt mit iOS 18 endlich auch den SMS-Nachfolger RCS aufs iPhone. Kathryn Murphy vom Kommunikationsdienstleister Twilio erläutert, was das heißt.",heise online,https://www.heise.de/hintergrund/RCS-Warum-sich-der-neue-Messaging-Standard-dank-Apple-durchsetzen-koennte-10181552.html?wt_mc=rss.red.ho.ho.atom.beitrag.beitrag,2024-12-10 10:21:00
19,Missbrauchsbilder in iCloud: US-Sammelklage wirft Apple Untätigkeit vor,"Apple ignoriert Missbrauchsmaterial in iCloud und schadet damit den Opfern, lauten die Vorwürfe. Gefordert wird auch ein neuer Scan-Mechanismus.",heise online,https://www.heise.de/news/Missbrauchsbilder-in-iCloud-US-Sammelklage-wirft-Apple-Untaetigkeit-vor-10193835.html,2024-12-10 12:16:00
20,Apple Pay: Erster Konkurrent geht in Europa an den Start,Apple musste die NFC-Schnittstelle für Drittanbieter öffnen – ein Erfolg für den norwegischen Zahlungsdienstleister Vipps. Kund:innen können jetzt auch ohne Apple Pay kontaktlos mit dem iPhone zahlen. Nach einem langen Streit mit der EU hat Apple die NFC-Schn…,T3n,https://t3n.de/news/?p=1662581,2024-12-10 12:25:54
21,Schnell zugreifen! Diese iOS- und Android-Apps sind kurze Zeit kostenlos,"Findet heraus, welche zeitlich begrenzten Angebote an kostenlosen Apps und Spielen im Apple App Store und Google Play Store derzeit erhältlich sind.",Nextpit.de,https://www.nextpit.de/kostenlose-apps-2024-01-50,2024-12-10 19:00:00
22,Apple Watch: Satellitenverbindung und Blutdruckmessung ab 2025 im Gespräch,"Apple plant die Einführung neuer Funktionen für seine Apple Watch, die das Nutzererlebnis deutlich erweitern sollen. Die Apple Watch Ultra wird ab 2025 mit Satellitenverbindungen ausgestattet sein, berichtet Bloomberg. Diese Technologie ermöglicht es Nutzern,…",Caschys Blog,https://stadt-bremerhaven.de/apple-watch-satellitenverbindung-und-blutdruckmessung-ab-2025-im-gespraech/,2024-12-10 20:30:41
23,Microsoft erweitert iPhone-Integration für Windows,Microsoft hat ein Update für seine „Link zu Windows-App“ veröffentlicht. Die neue Version 1.24112.73 ermöglicht iPhone-Nutzern erstmals den direkten Dateiaustausch mit Windows-PCs. Diese Funktion stellt einen wichtigen Schritt in der Integration zwischen Appl…,Caschys Blog,https://stadt-bremerhaven.de/microsoft-erweitert-iphone-integration-fuer-windows/,2024-12-11 07:05:57
24,OCR Scanner – QuickScan: Version 8.3 der Scan-App für iOS mit Neuerungen,Die Scan-App „OCR Scanner – QuickScan“ für das iPhone und das iPad begleiten wir hier im Blog seit ihrem Start. In den letzten Wochen konnte ich schon das Update auf die Version 8.3 testen die nun online gegangen ist. Die...Zum Beitrag: OCR Scanner – QuickSca…,Caschys Blog,https://stadt-bremerhaven.de/ocr-scanner-quickscan-version-8-3-der-scan-app-fuer-ios-mit-neuerungen/,2024-12-11 09:52:50
25,Opentable: Unerwartete Apple-Kalendereinträge sorgen für Verwirrung,"Wer auf einem iPhone oder Mac bei Opentable ein Restaurant anklickt, wird anschließend von einem Kalendereintrag überrascht. (Apple, iPhone)",Golem.de,https://www.golem.de/sonstiges/zustimmung/auswahl.html?from=https%3A%2F%2Fwww.golem.de%2Fnews%2Fopentable-unerwartete-apple-kalendereintraege-sorgen-fuer-verwirrung-2412-191599.html&referer=https%3A%2F%2Ft.co%2F8f594e3fe2,2024-12-11 09:53:02
26,heise+ | Stilvoll streamen: Elgatos Neo-Reihe im Test,"Licht, Kamera, Ton: Wer sich vor seinem Mac gekonnt in Szene setzen will, braucht passende Geräte. Elgatos Neo-Reihe soll helfen. Wir haben sie getestet.",heise online,https://www.heise.de/tests/Stilvoll-streamen-Elgatos-Neo-Reihe-im-Test-10183660.html?wt_mc=rss.red.ho.ho.atom.beitrag_plus.beitrag_plus,2024-12-11 12:00:00
27,"iOS 18.2, iPadOS 18.2 und macOS Sequoia 15.2 starten heute","Die heute Abend stattfindende Aktualisierung der Apple-Betriebssysteme bringt Erweiterungen im Bereich der künstlichen Intelligenz mit. Mit der Veröffentlichung von iOS 18.2, iPadOS 18.2 und macOS Sequoia 15.2 führt Apple mehrere neue Funktionen ein, die das …",Caschys Blog,https://stadt-bremerhaven.de/ios-18-2-ipados-18-2-und-macos-sequoia-15-2-starten-heute/,2024-12-11 14:12:25
