Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,Volatility,RSI,OBV,ATR
2024-12-04 09:30:00,242.8800048828125,243.7559967041016,242.50999450683597,243.0399932861328,2263006,0.0,0.0,,,2263006.0,
2024-12-04 09:35:00,243.0399932861328,243.3350067138672,242.69000244140625,243.07000732421875,618423,0.0,0.0,,,2881429.0,
2024-12-04 09:40:00,243.0800018310547,243.1699981689453,242.8504943847656,243.0200042724609,436543,0.0,0.0,,,2444886.0,
2024-12-04 09:45:00,243.05499267578125,243.4085998535156,243.0200042724609,243.3990936279297,557156,0.0,0.0,,,3002042.0,
2024-12-04 09:50:00,243.3999938964844,243.57000732421875,243.22999572753903,243.55999755859372,472482,0.0,0.0,,,3474524.0,
2024-12-04 09:55:00,243.55999755859372,243.8800048828125,243.3500061035156,243.57000732421875,582501,0.0,0.0,,,4057025.0,
2024-12-04 10:00:00,243.5399932861328,243.55499267578125,243.1499938964844,243.32000732421875,475723,0.0,0.0,,,3581302.0,
2024-12-04 10:05:00,243.3300018310547,244.1000061035156,243.2899932861328,243.8551025390625,1070321,0.0,0.0,,,4651623.0,
2024-12-04 10:10:00,243.85499572753903,244.10499572753903,243.5200042724609,243.5500030517578,604796,0.0,0.0,,,4046827.0,
2024-12-04 10:15:00,243.57000732421875,243.63619995117188,243.2400054931641,243.6300048828125,543690,0.0,0.0,,,4590517.0,
2024-12-04 10:20:00,243.63999938964844,243.6699981689453,243.2449951171875,243.3224029541016,377411,0.0,0.0,,,4213106.0,
2024-12-04 10:25:00,243.3300018310547,243.5200042724609,243.25999450683597,243.4499969482422,407813,0.0,0.0,,,4620919.0,
2024-12-04 10:30:00,243.44000244140625,243.6300048828125,243.2700042724609,243.52999877929688,322679,0.0,0.0,,,4943598.0,
2024-12-04 10:35:00,243.55999755859372,243.67999267578125,243.3699951171875,243.47999572753903,355225,0.0,0.0,0.24105191365834477,,4588373.0,
2024-12-04 10:40:00,243.47000122070312,243.69000244140625,243.3800048828125,243.3999938964844,247976,0.0,0.0,0.21597803328070678,53.183828748910436,4340397.0,0.4180352012839401
2024-12-04 10:45:00,243.3999938964844,243.5099029541016,243.30999755859372,243.4217071533203,270491,0.0,0.0,0.1883490014657719,53.895261143523804,4610888.0,0.3948141939515255
2024-12-04 10:50:00,243.4250030517578,243.4600067138672,243.3000030517578,243.3500061035156,210775,0.0,0.0,0.1437633286572616,51.13203729276032,4400113.0,0.37066335743677914
2024-12-04 10:55:00,243.3600006103516,243.6300048828125,243.17999267578125,243.46499633789065,421287,0.0,0.0,0.1416761608591165,55.10726222809768,4821400.0,0.3785759364989719
2024-12-04 11:00:00,243.47000122070312,243.82000732421875,243.47000122070312,243.6699981689453,272583,0.0,0.0,0.1485515289601741,61.17141945538883,5093983.0,0.37629071549340093
2024-12-04 11:05:00,243.66000366210935,243.6707000732422,243.4499969482422,243.4676055908203,174637,0.0,0.0,0.14740985280619182,53.48927300194766,4919346.0,0.3615783965512663
2024-12-04 11:10:00,243.47999572753903,243.5050048828125,243.27999877929688,243.3500061035156,285820,0.0,0.0,0.1448872419802596,49.59216350355955,4633526.0,0.34895612640819457
2024-12-04 11:15:00,243.33999633789065,243.38999938964844,243.22999572753903,243.3300018310547,220912,0.0,0.0,0.10800359989319887,48.93898351035965,4412614.0,0.33185185703379744
2024-12-04 11:20:00,243.3300018310547,243.33810424804688,242.9499969482422,243.00999450683597,353558,0.0,0.0,0.15772936116964456,39.88820133840094,4059056.0,0.33684878060008483
2024-12-04 11:25:00,243.01499938964844,243.0379943847656,242.8500061035156,242.90499877929688,340321,0.0,0.0,0.19741780009498375,37.441500845512024,3718735.0,0.3238522580403144
2024-12-04 11:30:00,242.90499877929688,242.90989685058597,242.57000732421875,242.7115020751953,635818,0.0,0.0,0.2644132272082465,33.37814229597978,3082917.0,0.32523053491219533
2024-12-04 11:35:00,242.69500732421875,242.6999969482422,242.16000366210935,242.28500366210935,668972,0.0,0.0,0.37991703859748066,26.54096130219042,2413945.0,0.34439828441130976
2024-12-04 11:40:00,242.2949981689453,242.3000030517578,242.1100006103516,242.1499938964844,364750,0.0,0.0,0.4680139295193786,24.808558444687407,2049195.0,0.3314904730762603
2024-12-04 11:45:00,242.15480041503903,242.6000061035156,242.1499938964844,242.5200042724609,324117,0.0,0.0,0.4847966981534818,36.95423155094099,2373312.0,0.34127996251830633
2024-12-04 11:50:00,242.5200042724609,242.5399932861328,242.2899932861328,242.4149932861328,1065562,0.0,0.0,0.5049029957619489,35.21565252815218,1307750.0,0.3338238203612717
2024-12-04 11:55:00,242.418701171875,242.5399932861328,242.3800048828125,242.5,2043304,0.0,0.0,0.5062853652393224,37.76804173962981,3351054.0,0.31976834113323654
2024-12-04 12:00:00,242.47999572753903,242.4850006103516,241.92999267578125,242.0200042724609,390130,0.0,0.0,0.5461959340058247,30.46848486224537,2960924.0,0.33981249132024915
2024-12-04 12:05:00,242.02999877929688,242.1020965576172,241.9199981689453,242.0800018310547,284313,0.0,0.0,0.5502438985332333,32.231597933074305,3245237.0,0.32728819084128097
2024-12-04 12:10:00,242.05499267578125,242.1699981689453,242.0,242.06500244140625,256656,0.0,0.0,0.5080217324155576,32.013048243888704,2988581.0,0.3148964882724346
2024-12-04 12:15:00,242.0500030517578,242.1699981689453,241.8300018310547,241.8300018310547,281258,0.0,0.0,0.48828055098753387,28.72656012209764,2707323.0,0.3168594816704494
2024-12-04 12:20:00,241.82000732421875,242.05999755859372,241.25,242.0399932861328,643979,0.0,0.0,0.43835746246328194,35.134737625511946,3351302.0,0.35516683897096835
2024-12-04 12:25:00,242.0399932861328,242.17999267578125,241.92999267578125,242.03990173339844,224555,0.0,0.0,0.3607814997963649,35.133254494298065,3126747.0,0.34704815524794647
2024-12-04 12:30:00,242.0399932861328,242.16000366210935,241.91000366210935,241.91000366210935,208286,0.0,0.0,0.3176914700495263,33.00447003859405,2918461.0,0.3395991959947574
2024-12-04 12:35:00,241.9188995361328,241.94000244140625,241.63999938964844,241.92030334472656,240580,0.0,0.0,0.2658017455381786,33.34931489254321,3159041.0,0.33657608573617565
2024-12-04 12:40:00,241.9199981689453,241.9517059326172,241.75,241.94500732421875,150291,0.0,0.0,0.22284418671600298,34.22384380600453,3309332.0,0.32632935233090293
2024-12-04 12:45:00,241.9550018310547,242.1699981689453,241.94000244140625,242.13999938964844,195767,0.0,0.0,0.21804707490309413,40.82394054952088,3505099.0,0.31904354706260296
2024-12-04 12:50:00,242.15989685058597,242.3699951171875,242.1199951171875,242.34500122070312,209870,0.0,0.0,0.2266830612102066,46.86094032582925,3714969.0,0.3138435691504572
2024-12-04 12:55:00,242.3491973876953,242.5,242.3300018310547,242.3686981201172,199203,0.0,0.0,0.20942593532828374,47.52732771262013,3914172.0,0.30305186500574915
