PublishedAt,VADER_Negative,VADER_Neutral,VADER_Positive
2025-01-01 10:01:33,0.109,0.664,0.227
2025-01-01 08:36:43,0.086,0.673,0.241
2024-12-31 22:07:58,0.072,0.694,0.234
2024-12-31 17:46:30,0.049,0.752,0.198
2024-12-31 17:30:46,0.102,0.729,0.169
2024-12-31 17:02:02,0.065,0.632,0.303
2024-12-31 14:02:13,0.063,0.724,0.213
2024-12-31 14:00:04,0.06,0.702,0.239
2024-12-31 09:32:08,0.028,0.74,0.233
2024-12-31 09:24:15,0.055,0.673,0.272
2024-12-31 04:22:18,0.062,0.776,0.162
2024-12-30 16:44:04,0.111,0.738,0.151
2024-12-30 16:08:58,0.078,0.727,0.195
2024-12-30 04:20:23,0.039,0.781,0.18
2024-12-28 21:03:52,0.053,0.711,0.236
2024-12-28 19:14:44,0.054,0.655,0.29
2024-12-28 17:02:12,0.138,0.681,0.181
2024-12-28 04:04:33,0.14,0.661,0.199
2024-12-27 23:21:44,0.068,0.739,0.193
2024-12-27 21:36:09,0.076,0.702,0.223
2024-12-27 21:00:29,0.07,0.691,0.239
2024-12-27 20:56:23,0.04,0.681,0.279
2024-12-27 18:20:33,0.098,0.687,0.215
2024-12-27 14:15:23,0.025,0.761,0.214
2024-12-27 12:08:08,0.102,0.706,0.192
2024-12-27 11:30:12,0.099,0.739,0.162
2024-12-27 03:26:37,0.135,0.794,0.071
2024-12-27 00:40:08,0.091,0.737,0.172
2024-12-27 00:35:21,0.075,0.754,0.171
2024-12-26 21:48:31,0.078,0.728,0.194
2024-12-26 21:15:30,0.057,0.789,0.154
2024-12-26 19:56:20,0.058,0.684,0.258
2024-12-26 19:24:37,0.105,0.702,0.193
2024-12-26 18:20:08,0.109,0.679,0.212
2024-12-26 16:05:33,0.09,0.735,0.175
2024-12-26 15:54:15,0.074,0.717,0.209
2024-12-26 15:34:10,0.105,0.718,0.178
2024-12-26 15:26:23,0.079,0.764,0.158
2024-12-26 06:26:11,0.041,0.72,0.239
2024-12-26 04:57:15,0.107,0.7,0.193
2024-12-25 18:21:17,0.094,0.693,0.213
2024-12-25 17:40:38,0.135,0.676,0.189
2024-12-25 07:34:30,0.027,0.836,0.137
2024-12-25 06:31:07,0.067,0.681,0.252
2024-12-25 04:16:37,0.05,0.755,0.195
2024-12-24 20:41:51,0.12,0.665,0.215
2024-12-24 19:23:28,0.169,0.678,0.153
2024-12-24 18:49:33,0.089,0.516,0.395
2024-12-24 02:11:47,0.131,0.711,0.159
2024-12-23 17:12:33,0.083,0.708,0.209
2024-12-23 17:03:09,0.128,0.669,0.202
2024-12-23 16:20:32,0.034,0.715,0.251
2024-12-23 00:11:20,0.103,0.683,0.214
2024-12-22 21:05:47,0.068,0.702,0.23
2024-12-21 19:43:32,0.093,0.729,0.178
2024-12-21 07:24:21,0.064,0.589,0.347
2024-12-21 00:28:54,0.118,0.732,0.149
2024-12-20 23:38:09,0.102,0.64,0.257
2024-12-20 19:23:11,0.097,0.725,0.178
2024-12-20 18:58:40,0.146,0.64,0.214
2024-12-20 18:43:49,0.07,0.665,0.265
2024-12-20 17:40:54,0.127,0.709,0.164
2024-12-20 15:48:02,0.049,0.668,0.283
2024-12-20 15:34:53,0.103,0.684,0.213
2024-12-20 11:30:10,0.124,0.689,0.187
2024-12-20 10:51:18,0.115,0.714,0.171
2024-12-20 05:24:32,0.111,0.725,0.164
2024-12-19 23:21:24,0.098,0.704,0.198
2024-12-19 20:21:55,0.042,0.809,0.149
2024-12-19 19:08:52,0.178,0.633,0.189
2024-12-19 18:07:31,0.079,0.647,0.274
2024-12-19 03:15:05,0.15,0.672,0.178
2024-12-19 02:43:21,0.154,0.659,0.188
2024-12-18 23:30:42,0.0,0.573,0.427
2024-12-18 23:02:05,0.0,0.741,0.259
2024-12-18 22:23:50,0.152,0.688,0.16
2024-12-18 22:22:59,0.131,0.669,0.2
2024-12-18 22:21:56,0.188,0.623,0.189
2024-12-18 16:48:50,0.0,0.728,0.272
2024-12-18 16:46:27,0.146,0.68,0.174
2024-12-18 15:49:52,0.081,0.699,0.22
2024-12-18 08:50:26,0.044,0.781,0.175
2024-12-18 06:02:28,0.093,0.782,0.125
2024-12-18 02:21:47,0.144,0.679,0.177
2024-12-18 01:23:40,0.106,0.71,0.184
2024-12-18 01:17:16,0.05,0.743,0.206
2024-12-18 00:01:24,0.187,0.549,0.265
2024-12-17 18:16:06,0.092,0.73,0.177
2024-12-17 17:30:52,0.081,0.807,0.112
2024-12-17 17:05:04,0.038,0.666,0.296
2024-12-17 11:42:53,0.071,0.771,0.158
2024-12-17 11:08:21,0.104,0.711,0.185
2024-12-17 06:51:18,0.133,0.717,0.15
2024-12-16 23:18:36,0.07,0.872,0.058
2024-12-16 22:34:13,0.049,0.699,0.252
2024-12-16 22:15:41,0.12,0.717,0.163
2024-12-16 20:58:30,0.054,0.805,0.142
2024-12-16 17:45:46,0.086,0.765,0.149
2024-12-16 17:45:16,0.115,0.731,0.154
2024-12-16 15:08:16,0.075,0.723,0.203
2024-12-16 08:57:33,0.043,0.703,0.254
2024-12-16 04:14:57,0.09,0.758,0.152
2024-12-15 05:43:57,0.064,0.719,0.217
2024-12-15 03:48:03,0.0,0.931,0.069
2024-12-15 03:36:12,0.1,0.641,0.259
2024-12-15 02:56:17,0.075,0.75,0.174
2024-12-14 21:48:39,0.093,0.723,0.184
2024-12-14 20:16:09,0.108,0.716,0.176
2024-12-14 08:45:08,0.122,0.715,0.163
2024-12-13 22:56:24,0.0,1.0,0.0
2024-12-13 22:21:25,0.099,0.644,0.256
2024-12-13 19:41:43,0.121,0.684,0.194
2024-12-13 19:31:03,0.074,0.754,0.173
2024-12-13 15:57:40,0.087,0.726,0.187
2024-12-13 11:30:10,0.116,0.681,0.202
2024-12-13 06:01:38,0.077,0.79,0.133
2024-12-13 05:05:07,0.119,0.685,0.196
2024-12-13 03:28:34,0.0,1.0,0.0
2024-12-12 17:21:09,0.086,0.744,0.17
2024-12-12 16:52:20,0.131,0.741,0.128
2024-12-12 16:11:53,0.052,0.748,0.2
2024-12-12 10:40:06,0.056,0.751,0.193
2024-12-11 23:30:41,0.045,0.701,0.254
2024-12-11 22:22:22,0.113,0.706,0.18
2024-12-11 19:42:17,0.136,0.663,0.201
2024-12-11 19:02:20,0.052,0.83,0.118
2024-12-11 16:11:45,0.052,0.852,0.096
2024-12-11 14:49:45,0.079,0.722,0.2
2024-12-11 13:43:05,0.03,0.782,0.188
2024-12-11 05:59:14,0.066,0.733,0.201
2024-12-11 05:38:42,0.031,0.78,0.189
2024-12-11 05:37:53,0.103,0.656,0.241
2024-12-11 04:31:51,0.078,0.726,0.197
2024-12-10 22:12:23,0.107,0.732,0.16
2024-12-10 22:07:10,0.081,0.7,0.219
2024-12-10 21:44:01,0.099,0.752,0.149
2024-12-10 21:31:24,0.073,0.772,0.155
2024-12-10 20:20:30,0.059,0.77,0.171
2024-12-10 17:59:16,0.064,0.735,0.201
2024-12-10 08:46:46,0.065,0.749,0.186
2024-12-10 06:32:15,0.056,0.732,0.212
2024-12-09 14:43:15,0.075,0.738,0.187
2024-12-09 03:49:17,0.095,0.706,0.199
2024-12-08 23:14:03,0.124,0.713,0.164
2024-12-08 19:17:55,0.078,0.703,0.219
2024-12-08 19:16:40,0.07,0.74,0.19
2024-12-08 16:16:12,0.036,0.756,0.208
2024-12-08 07:42:02,0.092,0.742,0.166
2024-12-07 13:32:33,0.088,0.604,0.308
2024-12-07 08:17:11,0.102,0.707,0.191
2024-12-07 01:10:51,0.434,0.566,0.0
2024-12-06 22:21:22,0.071,0.795,0.134
2024-12-06 21:33:34,0.159,0.586,0.255
2024-12-06 11:30:10,0.105,0.704,0.191
2024-12-06 09:48:09,0.098,0.687,0.214
2024-12-06 04:27:11,0.067,0.721,0.211
2024-12-06 00:13:24,0.069,0.73,0.201
2024-12-05 10:57:01,0.065,0.789,0.146
2024-12-05 05:21:36,0.106,0.697,0.197
2024-12-05 01:33:49,0.067,0.705,0.227
2024-12-05 00:05:37,0.04,0.747,0.213
2024-12-04 21:56:00,0.066,0.721,0.213
2024-12-04 03:45:20,0.08,0.665,0.255
2024-12-03 22:39:48,0.12,0.744,0.136
2024-12-03 20:49:45,0.0,1.0,0.0
2024-12-03 17:42:20,0.093,0.713,0.194
2024-12-03 14:14:11,0.117,0.673,0.211
2024-12-03 04:49:30,0.111,0.669,0.22
2024-12-02 18:52:54,0.069,0.676,0.255
2024-12-02 07:36:37,0.037,0.745,0.218
2024-12-01 12:10:12,0.074,0.688,0.237
2024-12-04 09:22:14,0.0,1.0,0.0
2024-12-04 10:36:00,0.0,1.0,0.0
2024-12-04 13:30:00,0.238,0.762,0.0
2024-12-04 15:28:18,0.082,0.861,0.057
2024-12-05 08:00:00,0.089,0.911,0.0
2024-12-05 14:11:01,0.119,0.881,0.0
2024-12-05 15:09:02,0.0,0.916,0.084
2024-12-06 09:30:00,0.17,0.83,0.0
2024-12-06 12:00:00,0.145,0.855,0.0
2024-12-06 14:00:00,0.196,0.804,0.0
2024-12-07 13:16:47,0.119,0.881,0.0
2024-12-08 09:58:00,0.122,0.878,0.0
2024-12-08 16:20:00,0.067,0.864,0.069
2024-12-09 17:49:00,0.231,0.769,0.0
2024-12-09 19:37:20,0.22,0.78,0.0
2024-12-09 19:44:45,0.0,1.0,0.0
2024-12-10 06:15:00,0.0,1.0,0.0
2024-12-10 09:13:06,0.081,0.919,0.0
2024-12-10 10:21:00,0.0,1.0,0.0
2024-12-10 12:16:00,0.14,0.86,0.0
2024-12-10 12:25:54,0.205,0.795,0.0
2024-12-10 19:00:00,0.0,0.926,0.074
2024-12-10 20:30:41,0.231,0.769,0.0
2024-12-11 07:05:57,0.098,0.902,0.0
2024-12-11 09:52:50,0.19,0.81,0.0
2024-12-11 09:53:02,0.0,1.0,0.0
2024-12-11 12:00:00,0.0,1.0,0.0
2024-12-11 14:12:25,0.375,0.625,0.0
2024-12-11 15:00:00,0.098,0.727,0.175
2024-12-11 15:08:58,0.276,0.724,0.0
2024-12-11 19:03:11,0.21,0.79,0.0
2024-12-11 19:05:42,0.081,0.919,0.0
2024-12-11 20:36:50,0.083,0.917,0.0
2024-12-11 21:27:00,0.074,0.926,0.0
2024-12-12 07:30:32,0.257,0.743,0.0
2024-12-12 11:00:35,0.27,0.676,0.054
2024-12-12 12:00:00,0.287,0.713,0.0
2024-12-12 13:00:00,0.319,0.681,0.0
2024-12-12 15:00:51,0.075,0.925,0.0
2024-12-12 17:13:00,0.03,0.97,0.0
2024-12-12 20:30:41,0.074,0.926,0.0
2024-12-13 14:14:00,0.0,1.0,0.0
2024-12-13 16:47:00,0.15,0.85,0.0
2024-12-14 08:00:29,0.113,0.778,0.109
2024-12-14 11:00:15,0.069,0.931,0.0
2024-12-15 06:30:19,0.07,0.93,0.0
2024-12-15 11:00:50,0.083,0.917,0.0
2024-12-15 15:00:56,0.148,0.852,0.0
2024-12-15 20:14:31,0.142,0.858,0.0
2024-12-16 08:25:36,0.091,0.909,0.0
2024-12-16 10:05:00,0.0,1.0,0.0
2024-12-16 10:28:01,0.0,1.0,0.0
2024-12-16 11:30:39,0.0,0.97,0.03
2024-12-16 15:48:24,0.293,0.707,0.0
2024-12-16 19:10:25,0.083,0.917,0.0
2024-12-17 06:15:00,0.0,0.83,0.17
2024-12-17 07:00:09,0.151,0.849,0.0
2024-12-17 09:00:25,0.157,0.843,0.0
2024-12-17 15:00:00,0.0,0.748,0.252
2024-12-18 10:27:07,0.083,0.917,0.0
2024-12-19 04:09:29,0.119,0.881,0.0
2024-12-19 08:41:43,0.16,0.84,0.0
2024-12-19 12:30:02,0.078,0.922,0.0
2024-12-19 14:26:22,0.089,0.911,0.0
2024-12-19 14:45:52,0.078,0.922,0.0
2024-12-19 17:18:00,0.115,0.885,0.0
2024-12-20 11:35:00,0.231,0.769,0.0
2024-12-20 13:54:01,0.105,0.751,0.145
2024-12-21 10:00:00,0.0,0.878,0.122
2024-12-21 12:45:12,0.081,0.919,0.0
2024-12-21 15:00:00,0.142,0.858,0.0
2024-12-22 12:00:01,0.0,0.917,0.083
2024-12-22 19:30:59,0.191,0.809,0.0
2024-12-22 20:01:02,0.137,0.863,0.0
2024-12-23 06:30:30,0.0,1.0,0.0
2024-12-23 09:31:01,0.0,1.0,0.0
2024-12-23 10:15:00,0.044,0.907,0.048
2024-12-23 12:03:00,0.14,0.86,0.0
2024-12-23 12:45:02,0.079,0.855,0.065
2024-12-23 13:01:00,0.151,0.849,0.0
2024-12-23 18:44:00,0.112,0.888,0.0
2024-12-23 19:20:57,0.0,1.0,0.0
2024-12-24 10:24:18,0.0,1.0,0.0
2024-12-24 11:39:00,0.0,0.89,0.11
2024-12-26 15:00:00,0.037,0.963,0.0
2024-12-27 10:51:00,0.275,0.634,0.092
2024-12-27 13:50:38,0.0,1.0,0.0
2024-12-27 18:05:00,0.0,1.0,0.0
2024-12-28 04:30:36,0.0,1.0,0.0
2024-12-28 12:29:00,0.0,1.0,0.0
2024-12-29 18:21:05,0.394,0.606,0.0
2024-12-30 10:00:00,0.0,1.0,0.0
2024-12-30 11:30:00,0.0,0.914,0.086
2024-12-30 12:02:23,0.0,1.0,0.0
2024-12-30 17:22:00,0.0,1.0,0.0
2024-12-30 17:38:01,0.0,0.85,0.15
2024-12-31 09:19:44,0.078,0.922,0.0
2024-12-31 12:40:02,0.109,0.891,0.0
2024-12-31 13:00:00,0.231,0.769,0.0
2024-12-31 17:00:25,0.0,1.0,0.0
2025-01-01 11:00:54,0.218,0.782,0.0
2025-01-01 12:22:02,0.0,1.0,0.0
2025-01-02 09:00:00,0.0,1.0,0.0
2025-01-02 17:30:00,0.0,1.0,0.0
2024-12-31 11:30:00,0.117,0.647,0.236
2024-12-31 09:34:00,0.087,0.669,0.244
2024-12-31 08:40:41,0.0,0.85,0.15
2024-12-31 07:57:25,0.0,0.884,0.116
2024-12-31 07:48:14,0.088,0.809,0.103
2024-12-31 03:43:45,0.03,0.67,0.3
2024-12-30 17:48:46,0.071,0.776,0.153
2024-12-30 16:24:00,0.0,0.822,0.178
2024-12-30 16:14:00,0.127,0.82,0.053
2024-12-30 16:00:34,0.0,0.949,0.051
2024-12-30 14:47:03,0.06,0.671,0.269
2024-12-30 14:41:18,0.0,0.816,0.184
2024-12-30 13:45:15,0.078,0.825,0.097
2024-12-30 13:15:00,0.0,0.773,0.227
2024-12-30 12:20:09,0.0,1.0,0.0
2024-12-30 12:20:08,0.0,0.625,0.375
2024-12-30 12:20:07,0.0,0.714,0.286
2024-12-30 12:20:06,0.0,0.625,0.375
2024-12-30 08:21:51,0.0,0.814,0.186
2024-12-30 04:03:13,0.037,0.938,0.025
2024-12-29 13:00:18,0.0,0.833,0.167
2024-12-28 23:57:00,0.0,0.664,0.336
2024-12-28 13:15:00,0.0,0.749,0.251
2025-01-03 22:43:49,0.049,0.727,0.224
2025-01-03 19:28:31,0.137,0.771,0.093
2025-01-03 19:00:00,0.0,0.89,0.11
2025-01-03 17:27:52,0.12,0.697,0.183
2025-01-03 16:00:37,0.0,0.82,0.18
2025-01-03 15:00:16,0.0,0.834,0.166
2025-01-03 14:00:00,0.0,0.66,0.34
2025-01-03 13:24:00,0.0,0.8,0.2
2025-01-03 13:00:00,0.1,0.615,0.285
2025-01-03 12:20:07,0.0,1.0,0.0
2025-01-03 12:20:06,0.0,1.0,0.0
2025-01-03 11:58:50,0.0,0.885,0.115
2025-01-03 11:45:00,0.0,0.617,0.383
2025-01-03 11:23:07,0.0,0.805,0.195
2025-01-03 11:15:00,0.0,1.0,0.0
2025-01-03 11:11:00,0.037,0.584,0.379
2025-01-03 10:50:00,0.0,0.901,0.099
2025-01-03 10:28:00,0.0,0.859,0.141
2025-01-03 09:35:00,0.048,0.725,0.228
2025-01-03 08:33:44,0.0,0.896,0.104
2025-01-03 06:29:45,0.092,0.794,0.114
2025-01-03 04:59:46,0.23,0.729,0.041
2025-01-03 04:30:22,0.039,0.78,0.181
2025-01-02 23:10:00,0.0,0.922,0.078
2025-01-02 20:32:10,0.046,0.755,0.198
2025-01-02 20:25:09,0.056,0.885,0.059
2025-01-02 19:02:52,0.0,0.87,0.13
2025-01-02 16:00:28,0.0,0.758,0.242
2025-01-02 14:09:29,0.126,0.656,0.219
2025-01-02 13:15:00,0.0,0.754,0.246
2025-01-02 12:22:23,0.141,0.727,0.132
2025-01-02 12:20:07,0.0,1.0,0.0
2025-01-02 09:13:45,0.056,0.911,0.033
2025-01-02 03:28:01,0.0,0.616,0.384
2025-01-01 19:00:19,0.101,0.847,0.053
2025-01-01 16:00:27,0.0,0.842,0.158
2025-01-01 15:15:41,0.0,0.922,0.078
2025-01-01 12:20:08,0.0,1.0,0.0
2025-01-01 12:20:08,0.0,0.809,0.191
2025-01-01 11:06:00,0.0,0.854,0.146
2024-12-31 16:00:30,0.0,0.947,0.053
2024-12-31 15:13:00,0.0,0.816,0.184
2024-12-31 15:11:51,0.0,0.87,0.13
2024-12-31 14:46:00,0.0,0.747,0.253
2024-12-31 14:16:46,0.0,0.871,0.129
