TimeGroup,mean_negative,mean_neutral,mean_positive
2024-12-31 09:45:00,0.057499999999999996,0.7045,0.2385
2024-12-31 10:00:00,0.1,0.9,0.0
2024-12-31 10:15:00,0.0,0.9650000000000001,0.035
2024-12-31 10:45:00,0.29,0.492,0.219
2024-12-31 11:00:00,0.061,0.772,0.167
2024-12-31 11:45:00,0.117,0.647,0.236
2024-12-31 12:30:00,0.0,0.8946666666666667,0.10533333333333333
2024-12-31 12:45:00,0.109,0.891,0.0
2024-12-31 13:15:00,0.14800000000000002,0.765,0.087
2024-12-31 13:30:00,0.129,0.839,0.032
2024-12-31 14:15:00,0.15760000000000002,0.712,0.1306
2024-12-31 14:30:00,0.0,0.871,0.129
2024-12-31 15:00:00,0.0,0.747,0.253
2024-12-31 15:15:00,0.0,0.843,0.157
2025-01-01 09:30:00,0.041555555555555554,0.8252222222222222,0.1331111111111111
2025-01-01 10:15:00,0.0545,0.8320000000000001,0.1135
2025-01-01 10:45:00,0.141,0.742,0.117
2025-01-01 11:15:00,0.109,0.8180000000000001,0.073
2025-01-01 11:30:00,0.0,1.0,0.0
2025-01-01 12:30:00,0.00625,0.9460000000000001,0.04775
2025-01-01 13:15:00,0.0,1.0,0.0
2025-01-01 13:30:00,0.0,1.0,0.0
2025-01-01 14:00:00,0.111,0.689,0.2
2025-01-01 15:00:00,0.0,1.0,0.0
2025-01-01 15:30:00,0.0,0.9610000000000001,0.039
2025-01-01 15:45:00,0.025,0.763,0.212
2025-01-02 09:30:00,0.025576923076923077,0.9311153846153846,0.043307692307692304
2025-01-02 09:45:00,0.231,0.769,0.0
2025-01-02 10:00:00,0.077,0.8919999999999999,0.031
2025-01-02 10:15:00,0.00825,0.9039999999999999,0.08775
2025-01-02 10:30:00,0.014333333333333332,0.9056666666666667,0.08033333333333333
2025-01-02 10:45:00,0.0,0.9716666666666667,0.028333333333333335
2025-01-02 11:00:00,0.164,0.8360000000000001,0.0
2025-01-02 11:15:00,0.0,1.0,0.0
2025-01-02 11:30:00,0.281,0.719,0.0
2025-01-02 11:45:00,0.015,0.8993333333333333,0.08566666666666667
2025-01-02 12:00:00,0.0412,0.9588000000000001,0.0
2025-01-02 12:15:00,0.0,1.0,0.0
2025-01-02 12:30:00,0.04699999999999999,0.718,0.235
2025-01-02 12:45:00,0.0,1.0,0.0
2025-01-02 13:00:00,0.13133333333333333,0.8686666666666666,0.0
2025-01-02 13:15:00,0.0,1.0,0.0
2025-01-02 13:30:00,0.10333333333333333,0.7566666666666667,0.13999999999999999
2025-01-02 13:45:00,0.0,0.9510000000000001,0.049
2025-01-02 14:00:00,0.12300000000000001,0.8733333333333334,0.0036666666666666666
2025-01-02 14:15:00,0.0315,0.8515,0.11725
2025-01-02 14:30:00,0.017,0.8545,0.1285
2025-01-02 14:45:00,0.0,0.872,0.128
2025-01-02 15:00:00,0.0,0.7796666666666666,0.22033333333333335
2025-01-02 15:15:00,0.111,0.73725,0.15175
2025-01-02 15:30:00,0.0,1.0,0.0
2025-01-02 15:45:00,0.0,1.0,0.0
2025-01-03 09:30:00,0.09946728971962618,0.7978224299065421,0.10270093457943925
